Test Text,True Label,Top 5 Similar Label 0,Top 5 Similar Label 1
saraswati pintar sekali tida belajar dari pengalaman hufffffffffffff,1,"Bukan baca komik kan pak?... yg kaya pak <username> koq masih ada aja yg meragukan kecerdasan beliau . <link>
napa sih anjir liat dia makan aja ketawa gua tolol
Suci dalam bedu
La Nyalla Mattalitti mantan pendukung Prabohoax tidak heran bahwa <hashtag> karena beliau begitu mengenal bagaimana watak Prabohoax yang temperamental .
Udah ga sabar pengen tau ide terbaik dia buat negriku .. Moga2 ga bikin makin bego siswanya aja ya Kalo ga jago menghafal .. trus yg dibutuhkan apa dong pak Jago berhitung? Jago nyanyi? Jago olahraga? Jago masak? Jago silat? Ato jago apaan .. penasaran gw 🤔 <link>
Radicalisme itu berasal dari fikiran bukan celana cingkrang .
<username> Nyi roro kidul tidak sembarangan mendatangi orang apalagi merasuki tubuh manusia kalo pun ada yg mengaku itu beliau dijamin palsu .","Pintar banget sih mbak ngehancurin mood seseorang
SUNGGUH MULIA SEKALI CITA2 MU NENG..JADI PELAKOR...hahahaahaaa kan pianyingen ??????????????????????
<username> Anis memang pintar pintar memanfaatkan situasi terlaksana atau tidak itu bukan bagian tanggungjawab nya tinggal ngeles saja
Sungguh mulia Ustadz AM agar santri selalu fit tahan begadang mikir cepet dan gacor dia beri sabu ke santri sabu tidak haram kan tidak ada larangan dalam Al-Quran . Malaikat Mukar Nakir dan Malaikat Malik pasti tidak sabar mau bertemu beliau .
Sebagai perempuan harus kuat Lucinta Luna Semangat bang
Ooh jelas saya pandai dan lihai menasehati orang lain tapi mendadak bodoh kalau menasehati diri sendiri . :(
Titel sarjana tapi otak ky ank tk . Dasar <hashtag>"
Menag bicara sola celana cingkrang gak bisa ikut aturan keluar .. Nah lhoo <link> <hashtag>,0,"Menag: Cadar dan Celana Cingkrang Bukan Ukuran Ketakwaan <link>
Menteri adu lucu bareng Bedu . Bedu kalah lucu di banding para menteri ... STOP korupsi sekecil apapun korupsi tetaplah korupsi ... <link>
Kenapa ya jubir jabir si <username> sll membuat sulit posisi pak <username> <username> <username> <link>
Kalau mempersoalkan cadar dan celana cingkrang itu dampaknya malah kegaduhan dan tidak substantif . Tapi kalau Pak Menag mampu mendorong RUU Miras disahkan itu baru terobosan . Umat menunggu gebrakan Pak Menag soal regulasi miras tutur Fahira . <link>
Busana Mendikbud Nadiem Makarim saat pelantikan Rektor Universitas Indonesia (UI) dikritik terlalu santai . Kemendikbud memberikan penjelasan mengenai gaya sang menteri: <hashtag> <hashtag> <link>
<username> <username> Embuh Bos .... ngrasakne negoroku dewe wae marai mumet• Yang teriak kopar kapir dikit-dikit haram penistaan tetek bengek Yang lagi hits ngelem Aibon mark up anggaran & pejabat korup Apalagi .... ormas kadrun monaslimin
<username> Faktor tempat pengaruh Om ... wols aja ... gak perlu keluar kata2 Goblok sprt itu ...","<hashtag> kalau bapak jadi imam baru mantap . Jangan politisasi Sholat Jumat Malu tahu..
Masa anis goblok gak mungkin lahh...kalu tukang bohong iyaaIsyarat okeTertawa berguling di lantaiTertawa berguling di lantai <hashtag>
Bukannya masjid itu tempat ibadah ya? terus kalau jumatan mah biasanya tidak pakai undangan kalau tidak dapet undangan tidak boleh jumatan atau gimana nih bapak :/ Jumatan kok berasa kayak kondangan
Terima kasih atas jasa bapak Anies <hashtag> kembali trending . Eh bukan ding itu antrian Aer yang mau masuk ke saluran pembuangan . Maap lord .??????
Partai Allah mah Bebas Sajadahpun boleh diinjak2 <hashtag>
Jaenudi ngaciro minta stop uninstallbukalapak !!! . . Rasain lue bong ... Gegara lue Big bos kena getahnya:-) Ayo bong bersih2 TL :D :D Gaspool!!!
<hashtag> 02-02-2020. Haya pengen ngucapain selamat kepda yth bapak Anis. Karna sekrang jakrta sudah bisa bikin <hashtag> sendri. Tanpa harus impor dari bogor. Selamat selamat."
Koruptor dihukum berat bukannya dikasih keringanan <hashtag>,0,"<username> <username> <username> Pak <username> mohon segera berlakukan hukuman mati bagi pejabat negara yg merangkap jabatan sebagai koruptor juga
<hashtag> mereka dg mudah mengatasnamakan dan menjual ayat untuk mengerahkan massa dan membelanya . Korban yang berjatuhan diframing sebagai korban aparat . Miris sekali
Kalo proyektilnya sebanyak ini knapa yg tertembak cuma dikit?? Polisi terlatih ga mungkin sia2in pelurunya .. <hashtag> <hashtag> <hashtag>
PERIODE tlh memaksa menangkan dg ribuan tumbal nyawa . Setiap aksi rakyat dihadang olh Pembantaian . Begitupun hari ini <hashtag> dibalas hantaman membabi buta pagar penguasa .. Tdk mustahil bsk lusa giliran kita juga ente 👉 🐸 Bacot !!! <link>
KPK dan jaksanya keras tp hakimnya sontoloyo . Kalau banding kerjanya hanya mengurangi hukuman . Sejak tdk ada Artijo Alkostar terdakwa selalu pengen banding <link>
Jangan <hashtag> bang kasihan nanti ada muka bancinya di LP kasihan kalo diperkosa tahanan
Luar biasa ada pejabat ngasi penghargaan buat diskotik . Kenapa gak sekalian bikin diskotik Award aja?","Selamat datang d negara +62 . yang ngelawan begal d penjara yang berdemokrasi menyampaikan aspirasi ditangkap dan d kira propokasi dg perlakuan tidak manusiawi . yang mungut karet bekas malah d penjara . Apa kabar para korupsi yang malah disembunyikan para pejabat? <hashtag>
Besok BTP keluar dari tahanan ..biar dia kafir aseng tapi dia hadapin semua prosedur hukum baik dari pemeriksaan sampai ke pengadilan ..tidak pakai acara minta penangguhan keringanan apalagi ampe kabur!!! <hashtag>
Kenapa saya memberiken apresiasi yang tinggi? Krn i Kafir saja ndak sanggup ngasih penghargaan seperti itu malah nutup diskotik
adab tapi penyilap ! <hashtag>
terlalu keren bahasanya.koruptor, Bilang aja maling /rampok <username>
peserta yang tidak punya kinerja ya jalannya hanya menjatuhkan lawan dengan bikin hoax . eh punya tidak ya kinerja culik menculik aktivis itu kinerja tidak ya
kalau merasa hukum tidak berat sebelah tangkap orang yang bilang ABB bebas pengecut"
Belum jadi pemimpin udah bikin hoax gmn kalau diberi jabatan ?? Bisa lebih parah,0,"Mbokan lah sibuk kaya pejabat <link>
<username> <username> Repotnya punya pemimpin TDK ngerti apa² . Saya khawatir juga k<username> dikasih masukan itu tau next stepnya seperti apa . Atau jadi malah bingung . Karena tipe org model begini seperti seorang raja yg belum baligh . Beruntung kalo org sekelilingnya peduli sama kesejahteraan rakyat .
Politik Nyinyir utk dapat Jabatan saat ini sudah mulai basi tapi masih ada yg mencoba ... <hashtag>
<username> <username> Pemimpin TOLOL ya gini
<username> <username> kepala SAKIT leher ke bawah gak bakalan enak . pemimpin sontoloyo bawahan bego . 😅😅😅
<username> <username> <username> Apalagi hanya sekedar kerabat / keluarga pejabat mantan koruptor aja masih bisa terpilih . Jadi gak tau lagi yg dungu ini demokrasinya atau pelaku demokrasinya .
<username> <username> Kalau Gue lebih gak bangga lagi punya pejabat yg gak bermutu kayak Lu Zonk","tidak salah sih menyuarakan pilihan politik nya . Tapi harus siap juga akan konsekuensi nya . jangan cm berani ucap tapi lalu koreksi seolah2 netizen bodoh .
Hari ini akan tercatat dalam sejarah bahwa ada seseorang yang telah berulang kali mencalonkan diri dan selalu gagal untuk menjadi The Presiden <hashtag>
wooww jawaban yg sangat aksi ðÿ' dulu jaman ahok. smw serba terbuka & transparan.. emang sih beda pemimpin beda gaya. gw pikir gk berlebihan jika kita katakan. selamat datang dimasa mental anti transparansi <username> ðÿ'ðÿ' <hashtag>
Kalian katakan Ahok tidak pantas disebut pemimpin krn bicaranya yang kasar tapi ada orang yang juga bicarany kasar kalian ktkn pemimpin umat
peserta yang tidak punya kinerja ya jalannya hanya menjatuhkan lawan dengan bikin hoax . eh punya tidak ya kinerja culik menculik aktivis itu kinerja tidak ya
Alhamdulillah gubernur nya bukan dia (ahok) ngomongan saja tidak dijaga omongannya amburadul apalagi kerja nya . Gubernur bapak anies top
Bedakan pemimpi otentik yang tulus dengan pemimpin <hashtag> yang licik"
Karena JUJUR membuatku malu dan merasa bersalah . Itulah kenapa JKW sulit melakukannya.,1,"Mengapa saya memilih <username> bukan <username> ? Karena Jokowi melupakan semua dari empat etika yang penting ini: 1 . Hormat 2 . Kesetiaan 3 . Integritas 4 . Rasa Syukur
<username> Tompi anda ini siapa sih? Rasanya kebencian anda ke Anies sdh menghilangkan nalar anda . Gelar dokter anda tdk membuat anda lebih bermoral Tompi . Anda tdk lebih penghamba Ahok yg terbutakan mata hatinya .
Saya jugak ! Saya tersinggung krn twit-mu mas <username> . Itu hak saya juga krn kamu memberikan data hoax utk menyudutkan presiden saya :@
cebong emang otaknya didengkul mau nyalahi Anies demi Ahok kagak tahu kalau BPJS itu Jokowi yg urus cebong jehaena dungu kuadrat :D :D :D
ya allah ngerasa tolol bat gue
<hashtag> Hi ..hi .. sejak kapan jkw ada di playstore/app store ???
Saya SIAP pasang badan . Saya SIAP MATI demi membela kepentingan masyarakat Jakarta . Jika ada yang macam-macam SAYA yang HADAPI ! <hashtag>","Terima kasih <username> sudah membuat orang sakit sekarang semakin sengsara.. Cc <username> <hashtag>
<username> Terlalu cinta dgn om Anies melanggar hukum pun dilakukan :(
<username> Saya setuju anies itu luar biasa sebagai tokoh pelopor/pencipta sistim aca kadut. Sampurna??????
<username> Cebong mmg luar biasa selalu merasa plg pinter dan tahu; tetapi makan kebohongan dan janji kosong ..
merasa bodoh itu manusiawi <hashtag>
Aku cinta Jokowi Aku sayang Pencitraan
Alhamdulillah Aku semakin mantab pilih 01 . Aku tuh sbnrnya pengin banget ngelayat tapi gimana dong kalau orgnya blm mati <hashtag>"
Oi tolong lah itu yg pada demo suruh pulang . <hashtag> <hashtag> <hashtag>,0,"TANGKAP PROVOKATOR <hashtag> <hashtag> <hashtag> <hashtag>
Dah ahh jangan banyak sambat disini Takut nanti diangkat jd mentrinya kabinet pak <username> Hapus jejak digitalnya kebanyakan ... <hashtag> <hashtag> <hashtag> <hashtag> <hashtag> <hashtag> <hashtag> <hashtag> <hashtag> <hashtag>
Tuntas kan pak <username> saya ngak rela uang rakyat di kayaginiin . <hashtag> <hashtag> <link>
<username> Rapatkan barisan satukan tekad demi Indonesia Damai . <hashtag>
<username> Lanjut Pak !! <hashtag> Ganjar Dukung Larangan Cadar di Kantor Pemerintah: Takutnya Kalau Pria <link>
<username> <username> <username> Yg tdk berkepentingan harap keluar
Ambyaaaar ..Wayahee <hashtag> mohon doa dari semua korban PHP tuk perjuangan n pengabdian <username> <username> <hashtag> tuk <hashtag> Ayo Move on brs Para Lebah !! <link>","Permisi generasi optimis mau lewat . Politisi tukang sebar fitnah hoax apalagi <hashtag> tolong minggir dulu ya .. <hashtag>
Buat para pembenci Selamat anda dipimpin oleh orang yang anda benci kembali . Dan selamat menikmati ketidksukaannya ditunggu status-status nyalahin pemerintahnya . <hashtag> pic .twitter .com/n3GaTERfKC
Kita Dukung ! <hashtag>
Terima kasih <hashtag> <hashtag> terbaik <username> mobil jadi <hashtag> <hashtag> <hashtag> <hashtag>
<username> Welcome to indonesia dimana orang bakal buang otak demi pemes
Terima Kasih Pak <username> <hashtag>
Saya <hashtag> untuk legowo dalam pilpres dan segera <hashtag> !!!!"
Astagfirullah Medina Zein make narkoba ..saya tidak kaget make narkoba nya saya kaget karena saya tidak tahu siapa pula Medina Zein,1,"Astaga gua senoob ini kah ngupas salak sampe berdarah-darah? 😶 sianying masa gua segolongan ama Nia Ramadhani?! <link>
<username> Klu aku pasien si tompi sudah aku suntik dia ...
aku dikatain bucin dan tanpa sadar dia nya dulu pernah cerita ke aku kalo dia pernah bucin juga sampe goblok banget bangsat sia anjing
Udah sok sedih playing victim lagi . Bilangnya gak tau apa-apa ternyata suka bohong 😌 Punya satu temen toxic bacotnya gede pula Katanya temen tapi klepto 😌 Lu goblok atau gimana? Punya satu temen juga nih udah dikenalin kemana-mana malah gatau diri juga 😌
Yang gue salut belum kenal udh bisa menilai orang itu bagaimana lu dukun atau semacam nya sih 😝😄<hashtag> <hashtag>
pas kegeledah kemaren malam . polisi nemuin sabu sabu kondom juga seorang wanita . idih kok si <hashtag>
<username> Ehhh para wortel ku 🙈 Iyaaa iyaaa besok aku jd Nia Ramadhani part 2 yg gk bs ngupas wortel . Bakal dinikahi konglomerat jg gak yaa","<hashtag> saya positf hamil ?? Yaelahh tolll - Kok narkoba :v
Ngeliat orang-orang yang tweet katanya makan babi sifatnya kayak babi saya terharu. Karna kalian gua yakin kalau gua Pintar. Ternyata saya Pintar yaampun ?????? Ternyata otak saya masih bisa diselamatkan. <hashtag>
rajin banget tu orng bikin status ajg kesel saya yang disasar juga tidak peka tolol hshshshshshsh
Akhirnya saya bisa tahu hal positif yang Lucinta Luna punya ???????? Positif narkoba
Aku seneng banget kalau ada yang lebih goblok dari aku:)
Sudah 2 minggu saya KKN dan hampir 2 minggu itu pula sya makan tempe terus2an tidak ada tu tempenya setipis atm . Alay banget pakk melebih lebihkann bangett .
aku punya temen dimana dia jomblo tapi sering ngatain jomblo . keren banget kan . gatau dirinya :("
bapak ngantornya di jalan tol saja bapak .. Balaikota yang bikin bukan masa pemerintahan jokowi lho bapak .. :D :D,1,"Ada 34 Propinsi di Indonesia . Artinya ada 34 Gubernur di Indonesia . Jika setengahnya atau 17 Propinsi Gubernur nya seperti Anies Baswedan . Artinya di jamin Indonesia Bubar . <link>
Hebat benar Memang pemerintahan di bawah pak Jokowi .. <hashtag>
Gubernur Walikota dan ..... itu pejabat keritiklah ia saat menjabat
<username> <username> Bagus bos .tapi biar dak jadi gado gado .tugasnya sbg menhan dinomer satukan .manteb pak prabowo .
<username> BETAPA RAKYAT KECIL DIPINGGIRAN SANA DI PULAU PULAU TERLUAR JAWA SEDANG MENIKMATI PEMBANGUNAN JALAN TOL YANG DIBUAT SANG PRESIDEN JOKOWI- JK . DENGAN BANGGANYA MASYARAKAT DIPINGGIRAN PERBATASAN ANTARA NEGARA BERTERIMA KASIH BUAT JOKOWI - JK YANG TELA MEMBANGUN POS POS PERBATASAN .
Sebenernya yg jadi presiden RI itu pak <username> atau Lord Luhut sih 😅
Gabung Keraton Agung Sejagat ah siapa tau jadi menteri luar negerinya 🙈😂","bapak walikota semarang kalau nanti bapak jokowi gagal dua periode mohon jalan tol nya di bungkus ya atau tidak di gulung saja .
bangun tol nerusin presiden2 terdahulu aja sembrono emang yg mana yg dibangun dr uang si jae
Alhamdulillah gubernur nya bukan dia (ahok) ngomongan saja tidak dijaga omongannya amburadul apalagi kerja nya . Gubernur bapak anies top
ya setidaknya sifat pantang menyerah bapak prabowo untuk menduduki kursi istana etis diacungi jempol . terhitung dari 2004 daim rusak untuk jadi 'raja' istana
Keren gubernurnya Jakarta menjadi lautan !!salam seiman <username> Bawesdan
Maaf sih bapak Jokowi . Indo saat ini BUKAN negara hukum :( Jangan sok tidak tahu bapak <hashtag>
Jakarta lebih keren kameranya selalu ngikutin Anies..... :D :D :D :D"
<username> Tolong dong bapak² DPR kasih kuliah khusus dulu buat Menag ini biar tidak bikin ribut mulu .,1,"<username> tolong pk persiden<username> usut tuntas yg fitnah guru kami ustadz abdul somad .
<username> Oh jd <username> tujuanya apa ada di DPR menutupi markup anggaran biar bisa mabok lem rame2?! Ayo <username> hajar semua perampok2 anggaran mungkin si inggkar ini takut ketahuan pula boroknya .
Mantan Ketua Umum Muhammadiyah Syafii Maarif meminta agar kepada pihak-pihak yang menuduh Presiden <username> tidak me… <link>
Dari bungkus <username> bersetuju dewan menteri <username> | bengkarung padang luas makin masalah merusak Negara Kesatuan Republik Indonesia mencupaikan parakuat khilafah ISIS mereka <hashtag> <hashtag>
<username> <username> <username> Pak Menkopolhukam Saya mau urun pikiran . Saat ini hal yg paling urgent adalah Persatuan Anak Bangsa . Polarisasi Pilgub DKI Pilpres masih ada sisanya . Kiranya dapat diberikan solusinya yaitu : 1 . Tegakkan keadilan kasus terdahulu 2 . Pertemuan diskusi berulang antar anak bangsa
Saya bercerita tugas-tugas saya jadi menteri . Saya mengurangi tugas memberi kuliah . Tetap jadi dosen . Kerjaan tetap saya dosen menteri jadi sambilan kata Mahfud . <hashtag> <link>
Debat saling nge bandingin beban hidup lebih Beratan mana ekwkekkeke kadang kalau org tolol debat kadang suka Seru aja yang bgini segala di bandingin gak sekalian Umbar aib u berdua wkwkwkkwkwkwkww","Fakta sidang MK yang seperti itu gamblangnya dan kalian tetep <hashtag> ... Mikir .. !!!!
<username> <username> partai anti korupsi ya? wkwkwkwk . tai kucing berbau busuk
Wah keren. . . Koruptor saja mau dijadikan kapolri. . .wkwkwk apa kata dunia?
Amien Rais menyebutnya sebagai partai Allah setiap saat ribut saling serang antar anggota parta i.. Partai apakah itu? ??
<username> Partai Allah ?....... Patut dicontoh... Ngamin ngamin... msh mo ngotot anda...
<username> partai allah ? ... ... . apik dicontoh ... ngamin ngamin ... msh mo ngotot anda ...
<username> Sangat mulia sekali pemerintah untuk semua masyarakat pindah fakultas tata boga biar pada bisa bikin ciloq"
Ah tolol âš âš âš âš âš âš âš âš âš <link>,0,"Lah goblok <link>
goblok ! <link>
goblok bgt ga si
Dasar tolol lu mabok be bangga lu . GOBLOG <link>
argh tolol bgt
capek liat orang tolol semua . <link>
Bukan Indonesianya legislatifnya aja yang tolol <link>","merasa bodoh itu manusiawi <hashtag>
<hashtag> . kasihan ... kasihan ... kasihan..... Import air ah biar kelihatan begonya gkgkgkgkgk
terlalu keren bahasanya.koruptor, Bilang aja maling /rampok <username>
special thanks to : <username> for bikinin udangan tolol ini
mengagumkan .. sungguh sangat amat transparan .. <hashtag>
<username> <username> partai anti korupsi ya? wkwkwkwk . tai kucing berbau busuk
<username> Cebong mmg luar biasa selalu merasa plg pinter dan tahu; tetapi makan kebohongan dan janji kosong .."
