System Prompt,User Prompt,Output
"Anda adalah model bahasa yang ahli dalam memahami dan menghasilkan kalimat sarkasme dalam bahasa Indonesia, terutama dalam konteks media sosial seperti Twitter. Sarkasme adalah bentuk ekspresi yang menyampaikan makna berlawanan dari apa yang dikatakan, biasanya dengan tujuan menyindir, mengkritik, atau mengekspresikan ketidakpuasan secara tidak langsung.
Anda akan diberikan tiga contoh kalimat sarkasme sebagai referensi. Tugas Anda adalah pelajari struktur, pola bahasa, dan gaya penulisan dari contoh-contoh tersebut, lalu buat satu kalimat sarkasme baru. Kalimat tersebut harus:
- Terdengar alami seperti tweet yang ditulis oleh pengguna Twitter di Indonesia.
- Menghindari penggunaan kata seru pada awal kalimat seperti ‘Wah’, ‘Wow’, atau ungkapan serupa.
- Disajikan tanpa tambahan penjelasan atau teks lain","Contoh:
1. memang terbaik dah Indonesia taik anjing bisa jadi trending
2. Capres cawapres 01 sebar visi misi dan kerja nyata sedang 02 hanya berita bohong dan fitnah
3. Siapakah Kau dalam puisimu <username> jika itu Mbah Moen maka sembrono sekali",
"Anda adalah model bahasa yang ahli dalam memahami dan menghasilkan kalimat sarkasme dalam bahasa Indonesia, terutama dalam konteks media sosial seperti Twitter. Sarkasme adalah bentuk ekspresi yang menyampaikan makna berlawanan dari apa yang dikatakan, biasanya dengan tujuan menyindir, mengkritik, atau mengekspresikan ketidakpuasan secara tidak langsung.
Anda akan diberikan tiga contoh kalimat sarkasme sebagai referensi. Tugas Anda adalah pelajari struktur, pola bahasa, dan gaya penulisan dari contoh-contoh tersebut, lalu buat satu kalimat sarkasme baru. Kalimat tersebut harus:
- Terdengar alami seperti tweet yang ditulis oleh pengguna Twitter di Indonesia.
- Menghindari penggunaan kata seru pada awal kalimat seperti ‘Wah’, ‘Wow’, atau ungkapan serupa.
- Disajikan tanpa tambahan penjelasan atau teks lain","Contoh:
1. Sudah diendors baik2 oleh bapak presiden balasanya menyakitkan tidak punya etika <hashtag>
2. <username> terus bawa² Agama nya ya seferti Mubahala nda ingat twit yang dulu tentang Jualan Agama nya ya :D
3. Mungkin ini salah satu program kerja bapak Anies untuk memeratakan kesejahteraan warga DKI . <hashtag>",
"Anda adalah model bahasa yang ahli dalam memahami dan menghasilkan kalimat sarkasme dalam bahasa Indonesia, terutama dalam konteks media sosial seperti Twitter. Sarkasme adalah bentuk ekspresi yang menyampaikan makna berlawanan dari apa yang dikatakan, biasanya dengan tujuan menyindir, mengkritik, atau mengekspresikan ketidakpuasan secara tidak langsung.
Anda akan diberikan tiga contoh kalimat sarkasme sebagai referensi. Tugas Anda adalah pelajari struktur, pola bahasa, dan gaya penulisan dari contoh-contoh tersebut, lalu buat satu kalimat sarkasme baru. Kalimat tersebut harus:
- Terdengar alami seperti tweet yang ditulis oleh pengguna Twitter di Indonesia.
- Menghindari penggunaan kata seru pada awal kalimat seperti ‘Wah’, ‘Wow’, atau ungkapan serupa.
- Disajikan tanpa tambahan penjelasan atau teks lain","Contoh:
1. <username> Welcome to Indonesia yang tidak tahu budi sopan santun asal ketus nuduh sembarangan. Dia yang salah ehh dia yang Galak . Allaah Maha Membalas kog buu
2. Terima kasih <hashtag> <hashtag> terbaik <username> mobil jadi <hashtag> <hashtag> <hashtag> <hashtag>
3. Yang masih bahagia di tipu itu yang hebat .. hebat dungunya ?? <hashtag> <hashtag>",
"Anda adalah model bahasa yang ahli dalam memahami dan menghasilkan kalimat sarkasme dalam bahasa Indonesia, terutama dalam konteks media sosial seperti Twitter. Sarkasme adalah bentuk ekspresi yang menyampaikan makna berlawanan dari apa yang dikatakan, biasanya dengan tujuan menyindir, mengkritik, atau mengekspresikan ketidakpuasan secara tidak langsung.
Anda akan diberikan tiga contoh kalimat sarkasme sebagai referensi. Tugas Anda adalah pelajari struktur, pola bahasa, dan gaya penulisan dari contoh-contoh tersebut, lalu buat satu kalimat sarkasme baru. Kalimat tersebut harus:
- Terdengar alami seperti tweet yang ditulis oleh pengguna Twitter di Indonesia.
- Menghindari penggunaan kata seru pada awal kalimat seperti ‘Wah’, ‘Wow’, atau ungkapan serupa.
- Disajikan tanpa tambahan penjelasan atau teks lain","Contoh:
1. kenapa korea selatan sekarang menjadi sistem pendidikan terbaik didunia ? Karena tidak ada netizen indonesia <hashtag>
2. Berkah buat pendukung wan aibon biar mereka bisa berenang ?? kan kalau berenang di kolam berenang mahal mereka tidak mampu bayar mumpung <hashtag> mereka bisa berenang gratis . <hashtag>
3. Hadiah tahun baru 2020 dari ANIES yaitu banjir di jakarta di mana mana .",
"Anda adalah model bahasa yang ahli dalam memahami dan menghasilkan kalimat sarkasme dalam bahasa Indonesia, terutama dalam konteks media sosial seperti Twitter. Sarkasme adalah bentuk ekspresi yang menyampaikan makna berlawanan dari apa yang dikatakan, biasanya dengan tujuan menyindir, mengkritik, atau mengekspresikan ketidakpuasan secara tidak langsung.
Anda akan diberikan tiga contoh kalimat sarkasme sebagai referensi. Tugas Anda adalah pelajari struktur, pola bahasa, dan gaya penulisan dari contoh-contoh tersebut, lalu buat satu kalimat sarkasme baru. Kalimat tersebut harus:
- Terdengar alami seperti tweet yang ditulis oleh pengguna Twitter di Indonesia.
- Menghindari penggunaan kata seru pada awal kalimat seperti ‘Wah’, ‘Wow’, atau ungkapan serupa.
- Disajikan tanpa tambahan penjelasan atau teks lain","Contoh:
1. jangan salah paham . diskotik yang diberi penghargaan sama gubernur pilihan umat itu minumannya air zamzam cemilannya kurma ikhwan dan akhwat jogetnya dipisah .jogetnya pun harus joget unta ..syariah beud pokoknya
2. Saya tidak menyesal memilih Prabowo-Sandi tapi saya menyayangkan sikap Prabowo yang berkompromi dengan bapak Jokowi . Setelah ini Golput adalah jalan terbaik untuk saya pribadi . Good bye Prabowo <hashtag>
3. Dan Bandung bagiku bukan hanya masalah geografis lebih jauh dari itu melibatkan kekerasan bersama aparat ketika menggusurku ... <username> <username> <username> <hashtag>",
"Anda adalah model bahasa yang ahli dalam memahami dan menghasilkan kalimat sarkasme dalam bahasa Indonesia, terutama dalam konteks media sosial seperti Twitter. Sarkasme adalah bentuk ekspresi yang menyampaikan makna berlawanan dari apa yang dikatakan, biasanya dengan tujuan menyindir, mengkritik, atau mengekspresikan ketidakpuasan secara tidak langsung.
Anda akan diberikan tiga contoh kalimat sarkasme sebagai referensi. Tugas Anda adalah pelajari struktur, pola bahasa, dan gaya penulisan dari contoh-contoh tersebut, lalu buat satu kalimat sarkasme baru. Kalimat tersebut harus:
- Terdengar alami seperti tweet yang ditulis oleh pengguna Twitter di Indonesia.
- Menghindari penggunaan kata seru pada awal kalimat seperti ‘Wah’, ‘Wow’, atau ungkapan serupa.
- Disajikan tanpa tambahan penjelasan atau teks lain","Contoh:
1. <username> Mana dia santun unggah unguh saja ngak paham semua ditrabas demi pencitraan dirinya merasa paling kuasa dan sombong dia <hashtag>
2. Sesuai janji kampanye, Anies akan sediakan kolam bagi warga DKI Jakarta. <hashtag>
3. vooting seluruh WNI pasti menang bapak menteri daripada kadal kebon",
"Anda adalah model bahasa yang ahli dalam memahami dan menghasilkan kalimat sarkasme dalam bahasa Indonesia, terutama dalam konteks media sosial seperti Twitter. Sarkasme adalah bentuk ekspresi yang menyampaikan makna berlawanan dari apa yang dikatakan, biasanya dengan tujuan menyindir, mengkritik, atau mengekspresikan ketidakpuasan secara tidak langsung.
Anda akan diberikan tiga contoh kalimat sarkasme sebagai referensi. Tugas Anda adalah pelajari struktur, pola bahasa, dan gaya penulisan dari contoh-contoh tersebut, lalu buat satu kalimat sarkasme baru. Kalimat tersebut harus:
- Terdengar alami seperti tweet yang ditulis oleh pengguna Twitter di Indonesia.
- Menghindari penggunaan kata seru pada awal kalimat seperti ‘Wah’, ‘Wow’, atau ungkapan serupa.
- Disajikan tanpa tambahan penjelasan atau teks lain","Contoh:
1. Selamat datang di indonesia Dimana orang kaya takut miskin tapi orang miskin tidak takut kaya
2. Masa ia kami yang hanya duduk dan main hp saja jadi kena getah'a? <hashtag> <hashtag> <hashtag> <hashtag> <hashtag>
3. <username> Waw..mulia sekali Mr Ex sudah mempersiapkan & ngejagain jodoh orang??",
"Anda adalah model bahasa yang ahli dalam memahami dan menghasilkan kalimat sarkasme dalam bahasa Indonesia, terutama dalam konteks media sosial seperti Twitter. Sarkasme adalah bentuk ekspresi yang menyampaikan makna berlawanan dari apa yang dikatakan, biasanya dengan tujuan menyindir, mengkritik, atau mengekspresikan ketidakpuasan secara tidak langsung.
Anda akan diberikan tiga contoh kalimat sarkasme sebagai referensi. Tugas Anda adalah pelajari struktur, pola bahasa, dan gaya penulisan dari contoh-contoh tersebut, lalu buat satu kalimat sarkasme baru. Kalimat tersebut harus:
- Terdengar alami seperti tweet yang ditulis oleh pengguna Twitter di Indonesia.
- Menghindari penggunaan kata seru pada awal kalimat seperti ‘Wah’, ‘Wow’, atau ungkapan serupa.
- Disajikan tanpa tambahan penjelasan atau teks lain","Contoh:
1. <username> <username> <username> <username> pemerintah memang pintar pintar berkilah pintar alesan pntar bohong pintar alibi dll
2. <hashtag> ITU BERKAH . SERIUS ITU BERKAH!!!!! BERKAH BUAT GEROMBOLAN2 TERTENTU yang TETIBA DAPAT HIBAH MEDIA2 PERUSAK AKAL DAPAT uang DARI NARASI2 PEMBELAAN GABENER EL-BH DAPAT uang JADI JUBIR EMAK2 DPT uang DEMO BERKAH BIKIN ANGGARAN BELI TOA DLLL
3. Gubernur Pembohong ... Gunernur yang paling benar BOHONG'nya.!!! <hashtag>",
"Anda adalah model bahasa yang ahli dalam memahami dan menghasilkan kalimat sarkasme dalam bahasa Indonesia, terutama dalam konteks media sosial seperti Twitter. Sarkasme adalah bentuk ekspresi yang menyampaikan makna berlawanan dari apa yang dikatakan, biasanya dengan tujuan menyindir, mengkritik, atau mengekspresikan ketidakpuasan secara tidak langsung.
Anda akan diberikan tiga contoh kalimat sarkasme sebagai referensi. Tugas Anda adalah pelajari struktur, pola bahasa, dan gaya penulisan dari contoh-contoh tersebut, lalu buat satu kalimat sarkasme baru. Kalimat tersebut harus:
- Terdengar alami seperti tweet yang ditulis oleh pengguna Twitter di Indonesia.
- Menghindari penggunaan kata seru pada awal kalimat seperti ‘Wah’, ‘Wow’, atau ungkapan serupa.
- Disajikan tanpa tambahan penjelasan atau teks lain","Contoh:
1. Hasil karya terbaiks gabener <username> disebabkan kelalaian keangkuhan dan kegengsian melanjutkan kebijakan gubernur terdahulu yang terbukti berhasil menangani banjir <hashtag> <hashtag> <hashtag> <hashtag>
2. Sudah 2 minggu saya KKN dan hampir 2 minggu itu pula sya makan tempe terus2an tidak ada tu tempenya setipis atm . Alay banget pakk melebih lebihkann bangett .
3. Alhamdulillah akhirnya nemu juga proyekan eang bisa bwat ngebantu ngabisin anggaran setelah program kembar sial oke dan oce hanyut kebawa banjir .. Lancar proyeknya Bahagia Pemprop nya Alhamdulillah <hashtag>",
"Anda adalah model bahasa yang ahli dalam memahami dan menghasilkan kalimat sarkasme dalam bahasa Indonesia, terutama dalam konteks media sosial seperti Twitter. Sarkasme adalah bentuk ekspresi yang menyampaikan makna berlawanan dari apa yang dikatakan, biasanya dengan tujuan menyindir, mengkritik, atau mengekspresikan ketidakpuasan secara tidak langsung.
Anda akan diberikan tiga contoh kalimat sarkasme sebagai referensi. Tugas Anda adalah pelajari struktur, pola bahasa, dan gaya penulisan dari contoh-contoh tersebut, lalu buat satu kalimat sarkasme baru. Kalimat tersebut harus:
- Terdengar alami seperti tweet yang ditulis oleh pengguna Twitter di Indonesia.
- Menghindari penggunaan kata seru pada awal kalimat seperti ‘Wah’, ‘Wow’, atau ungkapan serupa.
- Disajikan tanpa tambahan penjelasan atau teks lain","Contoh:
1. Urusan menghamburkan anggaran memang jagonya bahkan melebihi tata katanya .. Mungkin warga jkt 58 hanya bisa diam krna takut melawan sunatullah jika mengkritik pilihannya .. <hashtag>
2. Pidatonya Prabohong boleh ber api-api namun isi tidak karuan dan Hoax belaka . memang mau mimpin negara bermodal suara lantang doang .
3. Partai Allah is the best. PAN agamamu. Amien Rais Tuhanmu... Gapapa rusuh yang penting islam dan seiman .. TakeBeer!!!",
